21:02:41.238 | InvertedPendulum.py:204 | INFO | Episode:3700, Average Reward:246
21:02:55.511 | InvertedPendulum.py:204 | INFO | Episode:3750, Average Reward:258
21:03:10.026 | InvertedPendulum.py:204 | INFO | Episode:3800, Average Reward:265
21:03:26.956 | InvertedPendulum.py:204 | INFO | Episode:3850, Average Reward:313
21:03:45.000 | InvertedPendulum.py:204 | INFO | Episode:3900, Average Reward:326
21:04:00.618 | InvertedPendulum.py:204 | INFO | Episode:3950, Average Reward:291
21:04:17.878 | InvertedPendulum.py:204 | INFO | Episode:4000, Average Reward:323
21:04:37.085 | InvertedPendulum.py:204 | INFO | Episode:4050, Average Reward:354
21:04:59.414 | InvertedPendulum.py:204 | INFO | Episode:4100, Average Reward:428
21:05:27.864 | InvertedPendulum.py:204 | INFO | Episode:4150, Average Reward:492
21:05:50.596 | InvertedPendulum.py:204 | INFO | Episode:4200, Average Reward:402
21:06:10.245 | InvertedPendulum.py:204 | INFO | Episode:4250, Average Reward:354
21:06:37.120 | InvertedPendulum.py:204 | INFO | Episode:4300, Average Reward:447
21:07:07.214 | InvertedPendulum.py:204 | INFO | Episode:4350, Average Reward:510
21:07:29.054 | InvertedPendulum.py:204 | INFO | Episode:4400, Average Reward:355
21:07:53.304 | InvertedPendulum.py:204 | INFO | Episode:4450, Average Reward:397
21:08:19.619 | InvertedPendulum.py:204 | INFO | Episode:4500, Average Reward:482
21:08:43.351 | InvertedPendulum.py:204 | INFO | Episode:4550, Average Reward:439
21:09:06.067 | InvertedPendulum.py:204 | INFO | Episode:4600, Average Reward:417
21:09:32.260 | InvertedPendulum.py:204 | INFO | Episode:4650, Average Reward:474
21:10:03.854 | InvertedPendulum.py:204 | INFO | Episode:4700, Average Reward:514
21:10:36.674 | InvertedPendulum.py:204 | INFO | Episode:4750, Average Reward:591
21:11:03.259 | InvertedPendulum.py:204 | INFO | Episode:4800, Average Reward:492
21:11:24.404 | InvertedPendulum.py:204 | INFO | Episode:4850, Average Reward:391
21:11:53.127 | InvertedPendulum.py:204 | INFO | Episode:4900, Average Reward:524
21:12:23.351 | InvertedPendulum.py:204 | INFO | Episode:4950, Average Reward:570
21:12:57.658 | InvertedPendulum.py:204 | INFO | Episode:5000, Average Reward:624
21:13:32.226 | InvertedPendulum.py:204 | INFO | Episode:5050, Average Reward:626
21:14:07.170 | InvertedPendulum.py:204 | INFO | Episode:5100, Average Reward:624
21:14:46.309 | InvertedPendulum.py:204 | INFO | Episode:5150, Average Reward:675
21:15:29.510 | InvertedPendulum.py:204 | INFO | Episode:5200, Average Reward:765
21:16:09.270 | InvertedPendulum.py:204 | INFO | Episode:5250, Average Reward:686
21:16:48.043 | InvertedPendulum.py:204 | INFO | Episode:5300, Average Reward:676
21:17:28.206 | InvertedPendulum.py:204 | INFO | Episode:5350, Average Reward:712
21:18:05.169 | InvertedPendulum.py:204 | INFO | Episode:5400, Average Reward:673
21:18:42.165 | InvertedPendulum.py:204 | INFO | Episode:5450, Average Reward:665
21:19:19.695 | InvertedPendulum.py:204 | INFO | Episode:5500, Average Reward:685
