11:55:26.273 | InvertedPendulum.py:213 | INFO | Episode:3700, Average Reward:170
11:55:28.436 | InvertedPendulum.py:213 | INFO | Episode:3750, Average Reward:171
11:55:31.078 | InvertedPendulum.py:213 | INFO | Episode:3800, Average Reward:186
11:55:33.656 | InvertedPendulum.py:213 | INFO | Episode:3850, Average Reward:185
11:55:36.270 | InvertedPendulum.py:213 | INFO | Episode:3900, Average Reward:195
11:55:38.082 | InvertedPendulum.py:213 | INFO | Episode:3950, Average Reward:147
11:55:40.531 | InvertedPendulum.py:213 | INFO | Episode:4000, Average Reward:191
11:55:43.721 | InvertedPendulum.py:213 | INFO | Episode:4050, Average Reward:219
11:55:46.362 | InvertedPendulum.py:213 | INFO | Episode:4100, Average Reward:177
11:55:48.976 | InvertedPendulum.py:213 | INFO | Episode:4150, Average Reward:195
11:55:51.806 | InvertedPendulum.py:213 | INFO | Episode:4200, Average Reward:219
11:55:55.589 | InvertedPendulum.py:213 | INFO | Episode:4250, Average Reward:233
11:55:58.379 | InvertedPendulum.py:213 | INFO | Episode:4300, Average Reward:211
11:56:01.462 | InvertedPendulum.py:213 | INFO | Episode:4350, Average Reward:190
11:56:04.372 | InvertedPendulum.py:213 | INFO | Episode:4400, Average Reward:213
11:56:07.942 | InvertedPendulum.py:213 | INFO | Episode:4450, Average Reward:255
11:56:12.194 | InvertedPendulum.py:213 | INFO | Episode:4500, Average Reward:271
11:56:15.473 | InvertedPendulum.py:213 | INFO | Episode:4550, Average Reward:236
11:56:18.046 | InvertedPendulum.py:213 | INFO | Episode:4600, Average Reward:199
11:56:22.357 | InvertedPendulum.py:213 | INFO | Episode:4650, Average Reward:281
11:56:24.788 | InvertedPendulum.py:213 | INFO | Episode:4700, Average Reward:188
11:56:28.651 | InvertedPendulum.py:213 | INFO | Episode:4750, Average Reward:269
11:56:32.036 | InvertedPendulum.py:213 | INFO | Episode:4800, Average Reward:264
11:56:36.354 | InvertedPendulum.py:213 | INFO | Episode:4850, Average Reward:318
11:56:40.866 | InvertedPendulum.py:213 | INFO | Episode:4900, Average Reward:325
11:56:45.846 | InvertedPendulum.py:213 | INFO | Episode:4950, Average Reward:359
11:56:50.450 | InvertedPendulum.py:213 | INFO | Episode:5000, Average Reward:302
11:56:56.099 | InvertedPendulum.py:213 | INFO | Episode:5050, Average Reward:353
11:57:00.533 | InvertedPendulum.py:213 | INFO | Episode:5100, Average Reward:288
11:57:05.514 | InvertedPendulum.py:213 | INFO | Episode:5150, Average Reward:309
11:57:12.125 | InvertedPendulum.py:213 | INFO | Episode:5200, Average Reward:437
11:57:18.729 | InvertedPendulum.py:213 | INFO | Episode:5250, Average Reward:415
11:57:25.049 | InvertedPendulum.py:213 | INFO | Episode:5300, Average Reward:451
11:57:30.472 | InvertedPendulum.py:213 | INFO | Episode:5350, Average Reward:412
11:57:37.624 | InvertedPendulum.py:213 | INFO | Episode:5400, Average Reward:500
11:57:43.775 | InvertedPendulum.py:213 | INFO | Episode:5450, Average Reward:415
11:57:51.727 | InvertedPendulum.py:213 | INFO | Episode:5500, Average Reward:541
